1,2,0.581969296,-0.581969296,24
1,2,-0.509041399,0.509041399,13
1,3,0.669067658,-0.669067658,13
1,2,0.059039348,-0.059039348,13
1,3,-0.368253557,0.368253557,13
1,2,0.413972538,-0.413972538,13
1,3,-0.355316123,0.355316123,13
1,1,-0.022553194,0.022553194,13
1,2,0.306103608,-0.306103608,13
0,2,-0.20941006,0.20941006,13
1,3,0.2538021,-0.2538021,13
1,2,-0.042190253,0.042190253,13
1,3,-0.100325299,0.100325299,13
0,3,-0.182464322,0.182464322,13
1,2,-0.249319889,0.249319889,13
0,2,0.269849018,-0.269849018,13
1,3,0.237088588,-0.237088588,13
0,3,-0.464226778,0.464226778,13
1,2,-0.295123034,0.295123034,13
0,2,0.08221242,-0.08221242,13
1,3,0.186484413,-0.186484413,13
1,2,-0.05271435,0.05271435,13
0,2,0.307107962,-0.307107962,13
1,1,0.191988885,-0.191988885,13
1,2,-0.685368679,0.685368679,13
0,1,0.561507294,-0.561507294,13
1,2,-0.315085972,0.315085972,13
0,2,0.026524171,-0.026524171,13
0,3,0.683570957,-0.683570957,13
0,4,-0.685842328,0.685842328,13
1,1,-0.015597947,0.015597947,13
1,2,-0.089109179,0.089109179,13
0,2,0.173924918,-0.173924918,13
